lr,ent_coef,steps_per_round,net_arch,lr_schedule,target_kl,final_gate_rate,pass,run_name
0.0003,0.0,1000000,"64,64",constant,none,0.5263157894736842,False,sweep/lr0.0003_ent0_int1000000_arch64-64_constant_klnone
0.0003,0.0,1000000,"64,64",linear,none,0.5161290322580645,False,sweep/lr0.0003_ent0_int1000000_arch64-64_linear_klnone
0.0003,0.0,1000000,"128,128",constant,none,0.7910447761194029,False,sweep/lr0.0003_ent0_int1000000_arch128-128_constant_klnone
0.0003,0.0,1000000,"128,128",linear,none,0.6779661016949152,False,sweep/lr0.0003_ent0_int1000000_arch128-128_linear_klnone
0.0003,0.0,1000000,"256,256",constant,none,0.6904761904761905,False,sweep/lr0.0003_ent0_int1000000_arch256-256_constant_klnone
0.0003,0.0,1000000,"256,256",linear,none,0.8275862068965517,False,sweep/lr0.0003_ent0_int1000000_arch256-256_linear_klnone
0.0003,0.01,1000000,"64,64",constant,none,0.4,False,sweep/lr0.0003_ent0.01_int1000000_arch64-64_constant_klnone
0.0003,0.01,1000000,"64,64",linear,none,0.6206896551724138,False,sweep/lr0.0003_ent0.01_int1000000_arch64-64_linear_klnone
0.0003,0.01,1000000,"128,128",constant,none,0.7,True,sweep/lr0.0003_ent0.01_int1000000_arch128-128_constant_klnone
0.0003,0.01,1000000,"128,128",linear,none,0.5681818181818182,False,sweep/lr0.0003_ent0.01_int1000000_arch128-128_linear_klnone
0.0003,0.01,1000000,"256,256",constant,none,0.6714285714285714,False,sweep/lr0.0003_ent0.01_int1000000_arch256-256_constant_klnone
0.0003,0.01,1000000,"256,256",linear,none,0.5862068965517241,False,sweep/lr0.0003_ent0.01_int1000000_arch256-256_linear_klnone
